Name,Quantity,Unit,Cocktail
Candied Ginger,2,cube,San Cristóbal Cocktail
Sloe Gin,1,oz,San Francisco
Sweet Vermouth,1,oz,San Francisco
Dry Vermouth,1,oz,San Francisco
Bitters,2,ds,San Francisco
Orange Bitters,2,ds,San Francisco
Fernet Branca,1,oz,San Francisco Treat
Averna,1,oz,San Francisco Treat
Bianco Vermouth,1,oz,San Francisco Treat
Orange Peel,1,twst,San Francisco Treat
Rye,1,oz,San Gennaro Amaro Manhattan
Averna,1,oz,San Gennaro Amaro Manhattan
Sweet Vermouth,1,oz,San Gennaro Amaro Manhattan
Campari,1/2,t,San Gennaro Amaro Manhattan
Maraschino Cherry,1,un,San Gennaro Amaro Manhattan
Gin,2,oz,San Juan Dabinett
Applejack,3/4,oz,San Juan Dabinett
Benedictine,1,bsp,San Juan Dabinett
Bitters,2,ds,San Juan Dabinett
Orange Peel,1,twst,San Juan Dabinett
Mezcal,2,oz,San Juan Martinez
Bianco Vermouth,1/2,oz,San Juan Martinez
Sweet Vermouth,1/2,oz,San Juan Martinez
Maraschino Liqueur,1/8,oz,San Juan Martinez
Lemon Peel,1,twst,San Juan Martinez
Tequila,2,oz,San la Muerte
Licor 43,1 1/2,oz,San la Muerte
Lime Juice,3/4,oz,San la Muerte
Chipotle Pepper,1/3,un,San la Muerte
Bitters,3,dr,San la Muerte
Gin,2,oz,The San Martin
Sweet Vermouth,1,oz,The San Martin
Herbal Liqueur,1,t,The San Martin
Lemon Peel,1,twst,The San Martin
Blanco Tequila,2,oz,San Pedro
Dry Vermouth,1/2,oz,San Pedro
Triple Sec,1/8,oz,San Pedro
Grapefruit Bitters,3,ds,San Pedro
Lime Peel,1,twst,San Pedro
Rye,2,oz,San Serif
Aperol,1/2,oz,San Serif
Elderflower Liqueur,1/2,oz,San Serif
Lemon Juice,1/4,oz,San Serif
Lemon Zest,1,oz,San Serif
Rum,1,oz,Sancti Spiritus
Cardamaro,3/4,oz,Sancti Spiritus
Aromatized Wine,3/4,oz,Sancti Spiritus
Pear Liqueur,1,bsp,Sancti Spiritus
Lemon Peel,1,twst,Sancti Spiritus
Watermelon Juice,1,oz,The Sandcastle
Rum,1,oz,The Sandcastle
Martinique Rum,1,oz,The Sandcastle
Lime Juice,3/4,oz,The Sandcastle
Falernum,1/2,oz,The Sandcastle
Pisco,1/2,oz,The Sandcastle
Peychaud's Bitters,2,ds,The Sandcastle
Amaro Nonino,1,oz,Sandra Smash
Orange Liqueur,1,oz,Sandra Smash
Mango Puree,3,oz,Sandra Smash
Egg White,1,un,Sandra Smash
Bitters,3,dr,Sandra Smash
Mint,1,spg,Sandra Smash
Reposado Tequila,1 1/2,oz,Sangre de Agave
Dark Rum,1/2,oz,Sangre de Agave
Lime Juice,3/4,oz,Sangre de Agave
Cassis,1/2,oz,Sangre de Agave
Rich Demerara Syrup 2:1,1/2,t,Sangre de Agave
Tequila,2,oz,Sangre de Shiva
Vin De P?Che,3/4,oz,Sangre de Shiva
Lime Juice,1,oz,Sangre de Shiva
Pimento Bitters,1,ds,Sangre de Shiva
Bitters,1,ds,Sangre de Shiva
Simple Syrup,1/3,oz,Sangre de Shiva
Mezcal,3/4,oz,Sangre y Arena
Cherry Liqueur,3/4,oz,Sangre y Arena
Sweet Vermouth,3/4,oz,Sangre y Arena
Blood Orange Juice,3/4,oz,Sangre y Arena
Triple Sec,3/4,oz,Sangria (red)
Aperol,3/4,oz,Sangria (red)
Orange Juice,3/4,oz,Sangria (red)
Grapefruit Juice,3/4,oz,Sangria (red)
Lemon Juice,1,t,Sangria (red)
Red Wine,3,oz,Sangria (red)
Lemon Soda,1,spl,Sangria (red)
Orange,2,sli,Sangria (red)
Dry White Wine,4,oz,Sangria (white)
Grapefruit Juice,1,oz,Sangria (white)
Falernum,1/2,oz,Sangria (white)
Creme De Banane,1/4,oz,Sangria (white)
Peach Liqueur,1/4,oz,Sangria (white)
Club Soda,1,spl,Sangria (white)
Orange,2,sli,Sangria (white)
Bourbon,2,oz,The Sanny
Cynar,1 1/2,oz,The Sanny
Maraschino Liqueur,1/4,oz,The Sanny
Celery Bitters,2,ds,The Sanny
Lemon Zest,1,twst,The Sanny
Demerara Rum,1 1/2,oz,Sans-Souci
Clairin,1/2,oz,Sans-Souci
Creme De Banane,3/4,oz,Sans-Souci
Grenadine,1/4,oz,Sans-Souci
Demerara Syrup,1/4,oz,Sans-Souci
Lime Juice,3/4,oz,Sans-Souci
Bitters,1,ds,Sans-Souci
Rum,1 1/2,oz,Santa Branca
Fernet Branca,3/4,oz,Santa Branca
Elderflower Liqueur,3/4,oz,Santa Branca
Lemon Juice,3/4,oz,Santa Branca
Cucumber Juice,1,bsp,Santa Branca
Cucumber,1,sli,Santa Branca
Blanco Tequila,1 1/2,oz,Santa Rosa
Lemon Juice,1/2,oz,Santa Rosa
Peach Liqueur,1/2,oz,Santa Rosa
Agave Syrup,1/4,oz,Santa Rosa
Aromatized Wine,1/4,oz,Santa Rosa
Aromatized Wine,1,oz,Santa Rosa (Dear Irving)
Pisco,1,oz,Santa Rosa (Dear Irving)
Sorel Liqueur,1,oz,Santa Rosa (Dear Irving)
Brandied Cherry,3,un,Santa Rosa (Dear Irving)
Absinthe,1,ds,Santa Rosa (Dear Irving)
Bourbon,2,oz,Santa's Little Helper
Averna,3/4,oz,Santa's Little Helper
Sweet Vermouth,1/2,oz,Santa's Little Helper
Simple Syrup,1/2,oz,Santa's Little Helper
Heavy Cream,1/4,oz,Santa's Little Helper
Bitters,1,ds,Santa's Little Helper
Mezcal,1 1/2,oz,Santana Abraxas
Jamaican Rum,1/2,oz,Santana Abraxas
Allspice Dram,1/4,oz,Santana Abraxas
Benedictine,1/4,oz,Santana Abraxas
Chocolate Bitters,2,ds,Santana Abraxas
Cuban Rum,2,oz,Santiago
Lime Juice,3/4,oz,Santiago
Simple Syrup,1/2,oz,Santiago
Maraschino Liqueur,1,t,Santiago
Bitters,1,ds,Santiago
Herbal Liqueur,1,rinse,Santiago
Blanco Tequila,1 1/2,oz,El Santo
Aperol,1,oz,El Santo
Lemon Juice,1,oz,El Santo
Simple Syrup,1/2,oz,El Santo
Orange Peel,1,twst,El Santo
Reposado Tequila,1 1/2,oz,Santucci
Sweet Vermouth,3/4,oz,Santucci
Cynar,1/2,oz,Santucci
Mezcal,1,rinse,Santucci
Cucumber,1,sli,Santucci
Gin,1/2,oz,Sappho Sour
Campari,1/2,oz,Sappho Sour
Orange Liqueur,1/2,oz,Sappho Sour
Herbal Liqueur,1/2,oz,Sappho Sour
Lemon,1,oz,Sappho Sour
Lemon Bitters,2,ds,Sappho Sour
Maple Canadian Whisky,2,oz,Sappy Daze
Salers Gentiane,1/2,oz,Sappy Daze
Becherovka,1/2,oz,Sappy Daze
Lemon Peel,1,twst,Sappy Daze
Mezcal,1,rinse,Saramago
Blanco Tequila,2,oz,Saramago
Bianco Vermouth,3/4,oz,Saramago
Elderflower Liqueur,1/2,oz,Saramago
Orange Bitters,1,ds,Saramago
Grapefruit Peel,1,twst,Saramago
Brandy,2,oz,Saratoga Brace-Up
Lemon Juice,1/2,oz,Saratoga Brace-Up
Sugar,1,T,Saratoga Brace-Up
Absinthe,2,ds,Saratoga Brace-Up
Bitters,2,ds,Saratoga Brace-Up
Whole Egg,1,un,Saratoga Brace-Up
Soda Water,3,oz,Saratoga Brace-Up
Brandy,3/4,gl,Saratoga Cocktail (Harry Johnson)
Pineapple Syrup,2,ds,Saratoga Cocktail (Harry Johnson)
Maraschino Liqueur,2,ds,Saratoga Cocktail (Harry Johnson)
Bitters,2,ds,Saratoga Cocktail (Harry Johnson)
Rye,1,oz,Saratoga Cocktail (Rye-Cognac Manhattan)
Sweet Vermouth,1,oz,Saratoga Cocktail (Rye-Cognac Manhattan)
Cognac,1,oz,Saratoga Cocktail (Rye-Cognac Manhattan)
Bitters,2,ds,Saratoga Cocktail (Rye-Cognac Manhattan)
White Whiskey,1,oz,Saru Gland
Orange Juice,1,oz,Saru Gland
Aromatized Wine,3/4,oz,Saru Gland
Absinthe,1/4,oz,Saru Gland
Grenadine,1/4,oz,Saru Gland
Blanco Tequila,2,oz,Sassburger
Strega,1/2,oz,Sassburger
Ginger Liqueur,1/2,oz,Sassburger
Meyer Lemon Juice,1/2,oz,Sassburger
Light Rum,1,oz,SATAMA PUNCH
Dark Rum,2/3,oz,SATAMA PUNCH
Apricot Liqueur,2/3,oz,SATAMA PUNCH
Lemon Juice,2/3,oz,SATAMA PUNCH
Passion Fruit Syrup,2/3,oz,SATAMA PUNCH
Kombucha,1 3/8,oz,SATAMA PUNCH
Absinthe,1,ds,SATAMA PUNCH
Rye,2,oz,Satan's Circus
Campari,1,oz,Satan's Circus
Lemon Juice,3/4,oz,Satan's Circus
Cherry Liqueur,3/4,oz,Satan's Circus
Original Calls For .75 Ounces Of Chili-Infused Campari,,The,Satan's Circus
Gin,7/8,oz,Satan's Whiskers (Satan's Whiskers)
Orange Liqueur,2,t,Satan's Whiskers (Satan's Whiskers)
Sweet Vermouth,2,t,Satan's Whiskers (Satan's Whiskers)
Dry Vermouth,2,t,Satan's Whiskers (Satan's Whiskers)
Orange Juice,7/8,oz,Satan's Whiskers (Satan's Whiskers)
Lemon Juice,1/2,oz,Satan's Whiskers (Satan's Whiskers)
Simple Syrup,1/2,oz,Satan's Whiskers (Satan's Whiskers)
Orange Bitters,1,ds,Satan's Whiskers (Satan's Whiskers)
Orange,1,sli,Satan's Whiskers (Satan's Whiskers)
Orange Peel,1,twst,Satan's Whiskers (Satan's Whiskers)
Gin,3/4,oz,Satan's Whiskers Cocktail
Dry Vermouth,3/4,oz,Satan's Whiskers Cocktail
Sweet Vermouth,3/4,oz,Satan's Whiskers Cocktail
Orange Juice,1/2,oz,Satan's Whiskers Cocktail
Orange Liqueur,1/2,oz,Satan's Whiskers Cocktail
Orange Bitters,1,ds,Satan's Whiskers Cocktail
Orange Peel,1,twst,Satan's Whiskers Cocktail
Gin,1 1/2,oz,Satantango
Pink Grapefruit Juice,1,oz,Satantango
Aromatized Wine,1/2,oz,Satantango
Maurin Quina,1/2,oz,Satantango
Dry Vermouth,1,bsp,Satantango
Rye,3/4,oz,Satisfying strangeness
Herbal Liqueur,3/4,oz,Satisfying strangeness
Bigallet China-China,3/4,oz,Satisfying strangeness
Lime Juice,3/4,oz,Satisfying strangeness
Tequila,2,oz,Satsuma Margarita
Satsuma Juice,2,oz,Satsuma Margarita
Lime Juice,2,oz,Satsuma Margarita
Triple Sec,1/2,oz,Satsuma Margarita
Agave Syrup,1/2,oz,Satsuma Margarita
Gin,1,oz,Saturday Night
Bianco Vermouth,1/2,oz,Saturday Night
Campari,1/2,oz,Saturday Night
Amaro Abano,1/2,oz,Saturday Night
Gin,1 1/4,oz,Saturn
Lemon Juice,1/2,oz,Saturn
Passion Fruit Syrup,1/2,oz,Saturn
Falernum,1/4,oz,Saturn
Orgeat,1/4,oz,Saturn
Pineapple,1/2,c,Sauternes Corretto
Tartaric Acid Powder,1/4,t,Sauternes Corretto
Gin,4,oz,Sauternes Corretto
Amaro Sibilla,3,oz,Sauternes Corretto
Apricot Liqueur,2,oz,Sauternes Corretto
Milk,4,oz,Sauternes Corretto
Mezcal,3/4,oz,Savage Beauty
Fernet,3/4,oz,Savage Beauty
Coffee Liqueur,3/4,oz,Savage Beauty
Creme De Fraise,3/4,oz,Savage Beauty
Lemon Peel,1,twst,Savage Beauty
Light Rum,2,oz,Savage Swizzle
Coconut Rum,1,oz,Savage Swizzle
Lime Juice,1 1/2,oz,Savage Swizzle
Orange Juice,1,oz,Savage Swizzle
Raspberry Syrup,1,oz,Savage Swizzle
Cherry Bitters,2,ds,Savage Swizzle
Bitters,5,ds,Savage Swizzle
Rhum Agricole,3/4,oz,La Savane
Mezcal,3/4,oz,La Savane
Aromatized Wine,1,oz,La Savane
Swedish Punsch,1/2,oz,La Savane
Orange Bitters,2,ds,La Savane
Orange Peel,1,twst,La Savane
Gin,1,oz,Saveur Kiss
Bing Cherry Syrup,1,oz,Saveur Kiss
Egg White,1/2,oz,Saveur Kiss
Lemon Juice,1/4,oz,Saveur Kiss
Herbal Liqueur,2,bsp,Saveur Kiss
Ginger Liqueur,1,bsp,Saveur Kiss
Bing Cherry,2,un,Saveur Kiss
Smoked Salt,1,pn,Saveur Kiss
Jamaican Rum,1,oz,Saviour Machine
Guyanan Rum,3/4,oz,Saviour Machine
Gin,1/2,oz,Saviour Machine
Lime Juice,3/4,oz,Saviour Machine
Pineapple Juice,1/2,oz,Saviour Machine
Cinnamon Syrup,1/2,oz,Saviour Machine
Ginger Syrup,1/4,oz,Saviour Machine
Bitters,1,ds,Saviour Machine
Lime,1,wdg,Saviour Machine
Gin,1 1/2,oz,Savoir Faire
Dry Vermouth,3/4,oz,Savoir Faire
Herbal Liqueur,1/2,oz,Savoir Faire
Benedictine,1/4,oz,Savoir Faire
Orange Bitters,1,ds,Savoir Faire
Orange Peel,1,twst,Savoir Faire
Pimm's No. 1 Cup,2,oz,Savory Pimm's Cup
Lime Juice,1/2,oz,Savory Pimm's Cup
Pastis,1/4,oz,Savory Pimm's Cup
Birch Beer,4,oz,Savory Pimm's Cup
Rye,2,oz,Savory Smash
Lemon Juice,3/4,oz,Savory Smash
Honey Syrup,3/4,oz,Savory Smash
Cynar,1/4,oz,Savory Smash
Red Bell Pepper,3,sli,Savory Smash
Basil,3,lf,Savory Smash
Venezuelan Rum,1,oz,Savoy Daisy
Puerto Rican Rum,1/4,oz,Savoy Daisy
Ruby Port,2,oz,Savoy Daisy
Lemon Juice,3/4,oz,Savoy Daisy
Brown Sugar Simple Syrup,1/4,oz,Savoy Daisy
Grenadine,1/4,oz,Savoy Daisy
Orange Peel,1,twst,Savoy Daisy
Apple Brandy,1 1/2,oz,Savoy Tango
Sloe Gin,1 1/2,oz,Savoy Tango
Rye,2,oz,Savoy Truffle
Ramazzotti,1,oz,Savoy Truffle
Gran Classico,1,oz,Savoy Truffle
Ancho Reyes Chile Liqueur,1/2,oz,Savoy Truffle
Pistachio Liqueur,1/4,oz,Savoy Truffle
Bitters,2,ds,Savoy Truffle
Blended Scotch,2,oz,Saw Tooth
Lime Juice,1/2,oz,Saw Tooth
Simple Syrup,1/2,oz,Saw Tooth
Watermelon,3,cube,Saw Tooth
Bourbon,2,oz,Saw Tooth (Featherweight)
Braulio,1/2,oz,Saw Tooth (Featherweight)
Brown Sugar,1,cube,Saw Tooth (Featherweight)
Orange Bitters,2,ds,Saw Tooth (Featherweight)
Lemon Peel,1,twst,Saw Tooth (Featherweight)
Orange Peel,1,twst,Saw Tooth (Featherweight)
Gin,2,oz,Sawyer
Lime Juice,1/2,oz,Sawyer
Simple Syrup,1/2,oz,Sawyer
Ds Bitters,,14,Sawyer
Peychaud's Bitters,7,ds,Sawyer
Orange Bitters,7,ds,Sawyer
Light Rum,2,oz,Say Goodnight Gracie
Rich Demerara Syrup 2:1,3/4,oz,Say Goodnight Gracie
Creme De Violette,1/3,oz,Say Goodnight Gracie
Lime Juice,1/2,oz,Say Goodnight Gracie
Rhubarb Bitters,1,ds,Say Goodnight Gracie
Lime Peel,1,twst,Say Goodnight Gracie
Bourbon,1 1/2,oz,Sayre
Lemon Juice,3/4,oz,Sayre
Honey Syrup,1/2,oz,Sayre
Campari,1/2,oz,Sayre
Peach,1,sli,Sayre
Rye,3,oz,Sazerac
Simple Syrup,1/2,oz,Sazerac
Peychaud's Bitters,5,ds,Sazerac
Absinthe,1,rinse,Sazerac
Lemon Zest,1,twst,Sazerac
Sugar Cube,1,cube,Sazerac 1962
Rye,1 1/2,oz,Sazerac 1962
Herbal Liqueur,1,ds,Sazerac 1962
Peychaud's Bitters,1,ds,Sazerac 1962
Lemon Peel,1,twst,Sazerac 1962
Rye,2,oz,Sazerac Sour
Lemon Juice,3/4,oz,Sazerac Sour
Sugar Cube,1,cube,Sazerac Sour
Peychaud's Bitters,5,ds,Sazerac Sour
Bitters,1,ds,Sazerac Sour
Absinthe,1/4,oz,Sazerac Sour
Egg White,1,un,Sazerac Sour
Sweet Vermouth,2,oz,Sazeritif
Peychaud's Bitters,2,ds,Sazeritif
Absinthe,1/2,ds,Sazeritif
Rye,1,rinse,Sazeritif
Coffee,1/2,oz,Scaffa García Febles
Demerara Rum,1/2,oz,Scaffa García Febles
Trinidad Rum,1/2,oz,Scaffa García Febles
Benedictine,1/2,oz,Scaffa García Febles
Chocolate Bitters,1,ds,Scaffa García Febles
Tequila,1 1/2,oz,The Scarecrow
Cinnamon Syrup,1,t,The Scarecrow
Lemon,1,wdg,The Scarecrow
Orange,1,wdg,The Scarecrow
Aperol,1/2,oz,The Scarecrow
Orange Peel,1,twst,The Scarecrow
Gin,1,oz,Scarlet Knight
Ramazzotti,1/2,oz,Scarlet Knight
Sweet Vermouth,1/2,oz,Scarlet Knight
Zucca,1/4,oz,Scarlet Knight
Cranberry Syrup,3/4,oz,Scarlet Knight
Lemon Juice,1/2,oz,Scarlet Knight
Mint,1,spg,Scarlet Knight
Eau De Vie Of Douglas Fir,1,ds,Scarlet Knight
Rye,1 1/2,oz,Scarlet Manhattan
Ruby Port,3/4,oz,Scarlet Manhattan
Dry Vermouth,1/2,oz,Scarlet Manhattan
Bitters,2,ds,Scarlet Manhattan
Gin,1,oz,Scarlet Pimpernel
Grapefruit Liqueur,3/4,oz,Scarlet Pimpernel
Genepy,3/4,oz,Scarlet Pimpernel
Lime Juice,3/4,oz,Scarlet Pimpernel
Dr Celery Bitters,,12,Scarlet Pimpernel
Club Soda,2,oz,Scarlet Pimpernel
Mint,4,lf,Scarlet Pimpernel
Rhum Agricole,1 1/2,oz,The Scent of Bitter Almonds
Lemon Juice,1/2,oz,The Scent of Bitter Almonds
Orgeat,1/2,oz,The Scent of Bitter Almonds
Amaretto,1/4,oz,The Scent of Bitter Almonds
Cynar,1/4,oz,The Scent of Bitter Almonds
Bitters,2,ds,The Scent of Bitter Almonds
Scotch,1 1/2,oz,Schelcher
Sweet Vermouth,1 1/2,oz,Schelcher
Cherry Liqueur,1,t,Schelcher
Luxardo Bitter Bianco,1,t,Schelcher
Bitters,2,ds,Schelcher
Overproof Rum,1 1/2,oz,Schemers and Dancers
Campari,1/2,oz,Schemers and Dancers
Lime Juice,1/2,oz,Schemers and Dancers
Triple Sec,1/2,oz,Schemers and Dancers
Bourbon,2,oz,Schnitzelberg
Cardamaro,1,oz,Schnitzelberg
Maraschino Liqueur,1/4,oz,Schnitzelberg
Fernet Branca,1/4,oz,Schnitzelberg
Lemon Peel,1,twst,Schnitzelberg
Cognac,1,oz,Schooner Punch
Light Rum,1,oz,Schooner Punch
Lime Juice,3/4,oz,Schooner Punch
Pineapple Syrup,3/4,oz,Schooner Punch
Tea,2,oz,Schooner Punch
Rhum Agricole,1,oz,Schrage Muzik
Mezcal,1/2,oz,Schrage Muzik
Swedish Punsch,1/2,oz,Schrage Muzik
Benedictine,1/2,oz,Schrage Muzik
Campari,1/2,oz,Schrage Muzik
Bitters,1,ds,Schrage Muzik
Orange Peel,1,twst,Schrage Muzik
Gin,2,oz,Schuss
Zirbenz Stone Pine Liqueur,1/2,oz,Schuss
Maraschino Liqueur,1/4,oz,Schuss
White Creme De Menthe,1/4,oz,Schuss
Gin,1,oz,Schwartzwald
Black Balsams,1,oz,Schwartzwald
Amaro Lucano,1,oz,Schwartzwald
Lemon Juice,3/4,oz,Schwartzwald
Mezcal,1,oz,Schwifty Swizzle
Lime Juice,1,oz,Schwifty Swizzle
Falernum,1/2,oz,Schwifty Swizzle
Herbal Liqueur,1/2,oz,Schwifty Swizzle
Peychaud's Bitters,2,ds,Schwifty Swizzle
Mint,3,spg,Schwifty Swizzle
Rye,1 1/2,oz,Scofflaw
Dry Vermouth,1,oz,Scofflaw
Lemon Juice,3/4,oz,Scofflaw
Grenadine,3/4,oz,Scofflaw
Lemon Peel,1,twst,Scofflaw
Rye,2,oz,Scofflaw 2
Dry Vermouth,1,oz,Scofflaw 2
Lemon Juice,1/2,oz,Scofflaw 2
Grenadine,1/4,oz,Scofflaw 2
Orange Bitters,4,ds,Scofflaw 2
Canadian Whisky,1,oz,Scofflaw Cocktail (Harry MacElhone)
Dry Vermouth,1,oz,Scofflaw Cocktail (Harry MacElhone)
Lemon Juice,1/2,oz,Scofflaw Cocktail (Harry MacElhone)
Grenadine,1/2,oz,Scofflaw Cocktail (Harry MacElhone)
Orange Bitters,1,ds,Scofflaw Cocktail (Harry MacElhone)
Cognac,1 1/2,oz,Scorch the Earth
Sweet Vermouth,1/2,oz,Scorch the Earth
Cynar,1/2,oz,Scorch the Earth
Lemon Peel,1,twst,Scorch the Earth
Reposado Tequila,1 1/2,oz,Scorched Earth
Mezcal,1/2,oz,Scorched Earth
Santa Maria Al Monte,1/4,oz,Scorched Earth
Lime Juice,1,oz,Scorched Earth
Agave Syrup,1/2,oz,Scorched Earth
Peychaud's Bitters,3,ds,Scorched Earth
Ice,1,cube,Scorched Earth
Light Rum,2,oz,Scorpion
Brandy,1,oz,Scorpion
Overproof Rum,1/2,oz,Scorpion
Orange Juice,2,oz,Scorpion
Orgeat,1/2,oz,Scorpion
Lemon Juice,1 1/2,oz,Scorpion
Orange,1,wdg,Scorpion
Gold Rum,2,oz,Scorpion (Luau)
Gin,2,oz,Scorpion (Luau)
Brandy,1,oz,Scorpion (Luau)
Orange Juice,2,oz,Scorpion (Luau)
Lime Juice,1,oz,Scorpion (Luau)
Simple Syrup,3/4,oz,Scorpion (Luau)
Orgeat,1,oz,Scorpion (Luau)
Crushed Ice,8,oz,Scorpion (Luau)
Blended Scotch,1 1/2,oz,Scot's Pear
Tawny Port,1/4,oz,Scot's Pear
Pear Juice,1,oz,Scot's Pear
Ginger Syrup,3/4,oz,Scot's Pear
Lemon Juice,3/4,oz,Scot's Pear
Candied Ginger,1,un,Scot's Pear
Coconut Water,2 1/2,oz,Scotch and Coconut
Islay Scotch,1 1/2,oz,Scotch and Coconut
Triple Sec,1/2,oz,Scotch and Coconut
Lemon Juice,1/4,oz,Scotch and Coconut
Salt,1,pn,Scotch and Coconut
Orange Peel,1,twst,Scotch and Coconut
Star Anise,1,un,Scotch and Coconut
Islay Scotch,2,oz,Scotch Cringe aka Lavender Cadaver
Lime Juice,3/4,oz,Scotch Cringe aka Lavender Cadaver
Simple Syrup,3/4,oz,Scotch Cringe aka Lavender Cadaver
Whole Egg,1,un,Scotch Cringe aka Lavender Cadaver
Watermelon,2,cube,Scotch Cringe aka Lavender Cadaver
Speyside Scotch,1 1/2,oz,Scotch Flirting
Raspberry Liqueur,1/2,oz,Scotch Flirting
Maple Syrup,2,t,Scotch Flirting
Islay Scotch,1 1/2,oz,Scotch Lodge
Cherry Liqueur,1/2,oz,Scotch Lodge
Cynar,1/2,oz,Scotch Lodge
Sweet Vermouth,1/2,oz,Scotch Lodge
Orange Bitters,1,ds,Scotch Lodge
Orange Peel,1,twst,Scotch Lodge
Scotch,1 1/2,oz,Scotch Madeira Flip
Madeira,1,oz,Scotch Madeira Flip
Simple Syrup,1/2,oz,Scotch Madeira Flip
Whole Egg,1,un,Scotch Madeira Flip
Japanese Whisky,2,oz,Scotch Violet
Lemon Juice,3/4,oz,Scotch Violet
Creme Yvette,3/4,oz,Scotch Violet
Honey Syrup,1/4,oz,Scotch Violet
Lemon Peel,1,twst,Scotch Violet
Scotch,2,oz,Scotchlaw
Aromatized Wine,1,oz,Scotchlaw
Lemon Juice,3/4,oz,Scotchlaw
Grenadine,1/4,oz,Scotchlaw
Orange Bitters,2,ds,Scotchlaw
Scotch,2 1/2,oz,Scotland the Brave
Fernet Branca,3/4,oz,Scotland the Brave
Sweet Vermouth,3/4,oz,Scotland the Brave
Orange Liqueur,1/2,oz,Scotland the Brave
Cynar,1 1/2,oz,Scotland Yard
Scotch,3/4,oz,Scotland Yard
Lemon Juice,1/2,oz,Scotland Yard
Blended Scotch,2,oz,A Scotsman In Paradise
Creme De Banane,3/4,oz,A Scotsman In Paradise
Allspice Dram,1,t,A Scotsman In Paradise
Lime Juice,3/4,oz,A Scotsman In Paradise
Pineapple Juice,3/4,oz,A Scotsman In Paradise
Coconut Cream,1,T,A Scotsman In Paradise
Rye,1 1/4,oz,Scottish Autumn
Applejack,1 1/4,oz,Scottish Autumn
Sweet Vermouth,1 1/4,oz,Scottish Autumn
Drambuie,1/2,oz,Scottish Autumn
Bitters,2,ds,Scottish Autumn
Islay Scotch,1,oz,Scottish Basement
Amaro,3/4,oz,Scottish Basement
Ciociaro,3/4,oz,Scottish Basement
Bonal Gentiane Quina,1/2,oz,Scottish Basement
Bitters,2,ds,Scottish Basement
Speyside Scotch,2,oz,Scottish Breakfast
Pedro Ximenez Sherry,1,oz,Scottish Breakfast
Orange Bitters,2,ds,Scottish Breakfast
Scotch,1 1/2,oz,Scottish Hill
Sweet Vermouth,3/4,oz,Scottish Hill
Aromatized Wine,1/2,oz,Scottish Hill
Orange Liqueur,1/2,oz,Scottish Hill
Orange Bitters,2,ds,Scottish Hill
Blended Scotch,1 1/2,oz,Scozesse
Gin,1/2,oz,Scozesse
Campari,1/2,oz,Scozesse
Lime Juice,1/2,oz,Scozesse
Honey Syrup,1,t,Scozesse
Rye,2,oz,The Screaming Lyra
Amaro Montenegro,1/2,oz,The Screaming Lyra
Elderflower Liqueur,1/2,oz,The Screaming Lyra
Simple Syrup,1/4,oz,The Screaming Lyra
Jalapeno,1,sli,The Screaming Lyra
Bourbon,1 1/2,oz,Scuffle
Pomegranate Juice,1 1/2,oz,Scuffle
Lemon Juice,3/4,oz,Scuffle
Passion Fruit Syrup,3/4,oz,Scuffle
Blanco Tequila,2,oz,Sculaccione
Lime Juice,3/4,oz,Sculaccione
Campari,1/2,oz,Sculaccione
Grapefruit Juice,1/2,oz,Sculaccione
Simple Syrup,1/2,oz,Sculaccione
Bitters,1,ds,Sculaccione
Dark Rum,1 1/2,oz,Sea Change
Demerara Rum,1/2,oz,Sea Change
Lime Juice,3/4,oz,Sea Change
Maple Syrup,1/4,oz,Sea Change
Pear Liqueur,1/2,oz,Sea Change
Chocolate Bitters,1,ds,Sea Change
Blanco Tequila,1 1/2,oz,Sea of Cortez
Lime Juice,1,oz,Sea of Cortez
Cassis,3/4,oz,Sea of Cortez
Triple Sec,1/4,oz,Sea of Cortez
Lime,1,sli,Sea of Cortez
Gin,1 1/2,oz,Sea Deck Landing --  Dark Night
Amaro,1,oz,Sea Deck Landing --  Dark Night
Fernet Branca,1/2,oz,Sea Deck Landing --  Dark Night
Dark Creme De Cacao,1/2,oz,Sea Deck Landing --  Dark Night
Bitters,4,ds,Sea Deck Landing --  Dark Night
Sea Salt,1,ds,Sea Deck Landing --  Dark Night
Gin,1 1/2,oz,Sea Deck Landing -- In Hot
Sake,1,oz,Sea Deck Landing -- In Hot
Creme De Violette,3/4,oz,Sea Deck Landing -- In Hot
Ancho Reyes Chile Liqueur,3/4,oz,Sea Deck Landing -- In Hot
Peychaud's Bitters,3,ds,Sea Deck Landing -- In Hot
Sea Salt,1,ds,Sea Deck Landing -- In Hot
Madeira,2,oz,The Sea Dog
Simple Syrup,1/2,oz,The Sea Dog
Orange Peel,2,twst,The Sea Dog
Lemon Peel,1,twst,The Sea Dog
Absinthe,2,oz,Sea Fizz
Lemon Juice,1/2,oz,Sea Fizz
Simple Syrup,1,t,Sea Fizz
Egg White,1,un,Sea Fizz
Soda Water,3,oz,Sea Fizz
Aquavit,2 1/4,oz,Sea King
Bianco Vermouth,3/4,oz,Sea King
Swedish Bitters,2,ds,Sea King
Lemon Peel,1,twst,Sea King
Irish Whiskey,1 1/2,oz,Seabee Science Project
Campari,3/4,oz,Seabee Science Project
Dark Creme De Cacao,1/2,oz,Seabee Science Project
Grapefruit Liqueur,1/2,oz,Seabee Science Project
